,id,source_url,captions,md5
10,11,http://plantid.net/PhotoPath/Thumb192/__SSM/Vicia%20americana%20ssp.%20americana_0000%200000%200811%200481.jpg,"Vicia americana, Alternate compound leaves .",726aa90ce963de5d124002480fd8e0bb
11,12,http://plantid.net/PhotoPath/Thumb192/__JM/Vicia%20americana.jpg,"Vicia americana, Vine grows to a foot long.  One inch pea pods for fruit.",bf36d488e11ec7d73d9a5167108f03ac
12,13,http://plantid.net/PhotoPath/Thumb192/__KM/Vicia%20americana%20ssp.%20americana_0000%200000%200116%205323.jpg,"Vicia americana ssp. americana, Small but bright flowers",56bffcbef7d20043ef655f99a38ebc40
13,14,http://plantid.net/PhotoPath/Thumb192/__KM/Vicia%20americana%20ssp.%20americana_0000%200000%200116%205338.jpg,"Vicia americana ssp. americana, Lots of small compound leaflets .",c11c5bdc5ec40a1a072f9d72d6aa228a
14,15,http://plantid.net/PhotoPath/Thumb192/__RPS/Vicia%20americana%20ssp.%20americana_American%20Vetch_0228%20(1).jpg,"Vicia americana ssp. americana, Long thin leaves and purple flowers make this a vetch.",4db4fd44db3988d815ca788c1fbc2d7d
15,16,http://plantid.net/PhotoPath/Thumb192/__NK/Cortaderia%20jubata_0000%200000%200108%201021.jpg,"Cortaderia jubata, Tall stems (up to 20 feet) and showy tops make this plant stand out.",75c99b0cea913c0f3432b0af63bd7519
16,17,http://plantid.net/PhotoPath/Thumb192/__NK/Cortaderia%20jubata_0000%200000%201010%202184.jpg,"Cortaderia jubata, Many stems join at the root.",a74ceb194de79ef98c0e6289940c3546
17,18,http://plantid.net/PhotoPath/Thumb192/__NK/Cortaderia%20jubata_0000%200000%200108%201022.jpg,"Cortaderia jubata, Grass stem is hairy.  Leaves connect to the stem in a sheath.",b63eb05863233dd6ff0c0e3f70d8f1f2
18,19,http://plantid.net/PhotoPath/Thumb192/__SSM/Polypogon%20monspeliensis_0000%200000%200815%201653.jpg,"Polypogon monspeliensis, Annual Beard Grass is topped by large, fluffy spikes . They're framed by flat, rough, green leaves to  8"" long.",48c4ce669b0f528fd5822fa9a42ed62c
19,20,http://plantid.net/PhotoPath/Thumb192/__IFPS/Polypogon%20monspeliensis.jpg,"Polypogon monspeliensis, Soft, dense spikelets are green until they mature.  There are lots of spikelets in the spike , each producing  3 awns .",191c4e5d950fc410867b6cfabd4b8298
20,21,http://plantid.net/PhotoPath/Thumb192/__KM/Polypogon%20monspeliensis_0000%200000%200109%201786.jpg,"Polypogon monspeliensis, Long awns let light through around the edge but the center is opaque.",c45aa71ec0c8e2d0cafe8d1f6b3d3a0f
21,22,http://plantid.net/PhotoPath/Thumb192/__JKN/Poa%20annua_0000%200000%200302%200135.jpg,"Poa annua, Bright green or yellow-green leaves are soft, generally flat and come to a blunt point at the tips.",47e43b92cd971f2a77e6fb70850f8fc4
22,23,http://plantid.net/PhotoPath/Thumb192/__NK/Poa%20annua_0000%200000%200110%200779.jpg,"Poa annua, Like all Bluegrasses , the inflorescence is open and spikelets have no awns . Florets are membranous.",fec75cd1b45f6efad0a5d370b1147eba
23,24,http://plantid.net/PhotoPath/Thumb192/__DWT/Poa%20annua_0000%200000%200202%200024.jpg,"Poa annua, Annual Blue Grass grows quickly in disturbed areas.  Plants are small but have many leaves.",79d8cefff3d69f428359c3b2fa880a80
24,25,http://plantid.net/PhotoPath/Thumb192/__SSM/Deschampsia%20danthonioides_0000%200000%200105%202691.jpg,"Deschampsia danthonioides, This meadow grass has spreading spikelets with awns , giving it a fuzzy appearance, thus Hairgrass. Spikelets sometimes have purple tips.",c9fb3db837fea27b9dfa62638ec069af
25,26,http://plantid.net/PhotoPath/Thumb192/__IFPS/Deschampsia%20danthonioides.jpg,"Deschampsia danthonioides, Hairgrass grows singly or in loose clumps.  Spikelets grow on narrow, spreading, ascending branches.",448c9a16309bb07294a51abc3b75064b
26,27,http://plantid.net/PhotoPath/Thumb192/__SSM/Deschampsia%20danthonioides_0000%200000%200105%202696.jpg,"Deschampsia danthonioides, Two large bracts surround 1-3 florets.  Each floret has a long awn that bends in the middle.",05bd0267288c05a5bc92ee060c6cf385
27,28,http://plantid.net/PhotoPath/Thumb192/__KM/Urtica%20urens_0000%201111%202222%204502.jpg,"Urtica urens, Leaves are hairy, dark green, have large teeth, and end in a point.",ef73bafdc95beb059507945694afad27
28,29,http://plantid.net/PhotoPath/Thumb192/__NK/Urtica%20urens_0000%200000%201009%201955.jpg,"Urtica urens, Leaves are opposite.  Veins make indentations in the leaves.",6cd46f88fdbcefa6f27516a9e6f7ec02
29,30,http://plantid.net/PhotoPath/Thumb192/__NK/Urtica%20urens_0000%200000%201009%201956.jpg,"Urtica urens, Small green flowers look like little balls.",a194c9a8fb5f813b7adda0bf8a706c67
30,31,http://plantid.net/PhotoPath/Thumb192/__NK/Crassula%20aquatica_0000%200000%201116%202793.jpg,"Crassula aquatica, A succulent with tiny short pointed leaves less than 1/4 inch long.",76d5cff4d12a2a1822bf743e7da6565d
31,32,http://plantid.net/PhotoPath/Thumb192/__KM/Crassula%20aquatica_0000%200000%201203%200379.jpg,"Crassula aquatica, Likes to be submersed in water (salt or fresh).  Grows erect when exposed to air.",3213ad0c64143816ef89ebd5b94f242c
32,33,http://plantid.net/PhotoPath/Thumb192/__KM/Crassula%20aquatica_0000%201111%202222%203520.jpg,"Crassula aquatica, Tiny pink flower less than 1/4 inch wide.  Leaves can be red as well as green.",95107498c5c5e3983e4699bedefb0b2a
33,34,http://plantid.net/PhotoPath/Thumb192/__KM/Lupinus%20succulentus_0000%200000%201208%202773.jpg,"Lupinus succulentus, Look for radial leaflets that are   wider near the tip.  Their fleshy top feels rubbery.",dfefc8f60fb29bda15704d22b04e4228
34,35,http://plantid.net/PhotoPath/Thumb192/__SSM/Lupinus%20succulentus_0000%200000%200514%202370.jpg,"Lupinus succulentus, Here's a closeup of the flower.  The yellow pistil is just sticking out of the right-hand keel .  The left part is the banner .",c4e6e21e879299877cd72e21b6d32efd
35,36,http://plantid.net/PhotoPath/Thumb192/__BB/Lupinus%20succulentus_0000%200000%201109%201160.jpg,"Lupinus succulentus, Stacks of whorled flowers have white banner spots that turn magenta with age.",81919da2d977cee8a1560264712eddd7
36,37,http://plantid.net/PhotoPath/Thumb192/__JML/Salix%20lasiolepis.jpg,"Salix lasiolepis, Leaves are about 5 inches long, smooth-sided and narrow. They're pale/hairy underneath, and wider near the tip than near the base.",71c976c0a94a8cdad5d7bc4a0c4d8be7
37,38,http://plantid.net/PhotoPath/Thumb192/__WF/Salix%20lasiolepis_Arroyo%20Willow_Rodeo%20Lagoon_1978-01-08__WF.jpg,"Salix lasiolepis, Classic pussies with yellow stamens.  The buds are fused together (not overlapping) before they open.",afc9fcf495ef01aa5aac25379605db27
38,39,http://plantid.net/PhotoPath/Thumb192/__ZAB/Salix%20lasiolepis_0000%200000%201016%204133.jpg,"Salix lasiolepis, This willow has many trunks, sometimes growing as a tree, and sometimes as a tangled shrub.",41891f9328690edde7fe994bfe0692dc
39,40,http://plantid.net/PhotoPath/Thumb192/__KM/Cotula%20australis_0000%200000%200914%200767.jpg,"Cotula australis, Small flower head is made up of many tiny petal-less flowers.",4da14b32a75ad9ea13ebe5941dafbda3
40,41,http://plantid.net/PhotoPath/Thumb192/__WF/Cotula%20australis_Australian%20Brass%20Buttons_Olampali_1978-02-28__WF.jpg,"Cotula australis, Leaves divide into many little lobes .  Grows low to the ground.",6b52eb08688416db16d5c9ff0b2a6754
41,42,http://plantid.net/PhotoPath/Thumb192/__NK/Cotula%20australis_0000%200000%200111%201153.jpg,"Cotula australis, Green phyllaries behind a yellow flower head.",a946fa9bb3b8759430bc0a6d772af1ba
42,43,http://plantid.net/PhotoPath/Thumb192/__ZAB/Senecio%20glomeratus_0000%200000%200709%200885.jpg,"Senecio glomeratus, Composite flowers group at the top of the stem.  They have no ""petals"" ( ray flowers ).",fa03ff7fe4dc609b11402036e6e77b46
43,44,http://plantid.net/PhotoPath/Thumb192/__ZAB/Senecio%20glomeratus_0000%200000%200115%203623.jpg,"Senecio glomeratus, Leaves clasp the stem, grow to about 6 inches, and are deeply lobed .",11c6d1a8fa5c4f424fdf62c6aedeaa52
44,45,http://plantid.net/PhotoPath/Thumb192/__ZAB/Senecio%20glomeratus_0000%200000%200814%201001.jpg,"Senecio glomeratus, Grows to 6 feet or so, with lots of flowers near the top of the stem.",579012c6239d513b73f6fc71846daf67
45,46,http://plantid.net/PhotoPath/Thumb192/__WF/Nemophila%20menziesii%20var.%20menziesii_Baby%20Blue%20Eyes_Cascade%20Canyon_1991-04-03__WF.jpg,"Nemophila menziesii var. menziesii, Pale blue to dark blue petals.",c3a1d1f8e77e9783a86b08e98a1633dc
46,47,http://plantid.net/PhotoPath/Thumb192/__KM/Nemophila%20menziesii%20var.%20menziesii_0000%200000%201208%203438.jpg,"Nemophila menziesii var. menziesii, Five separate blue petals with a white center, usually with black dots.",deb16381b893771479a07985e0eafa16
47,48,http://plantid.net/PhotoPath/Thumb192/__KM/Nemophila%20menziesii%20var.%20menziesii_0000%200000%201208%203435.jpg,"Nemophila menziesii var. menziesii, Grows a couple of inches above the ground, with opposite, lobed leaves.",f6988fee44e8571cc575236617083729
48,49,http://plantid.net/PhotoPath/Thumb192/__KM/Actaea%20rubra_0000%201111%202222%200054.jpg,"Actaea rubra, Leaves have deeply toothed margins.  Poisonous berries are red or white, with a black dot.",f0a9abdc3a843497bd8201c8458e2b0f
49,50,http://plantid.net/PhotoPath/Thumb192/__JML/Actaea%20rubra%20fl.jpg,"Actaea rubra, White showy clusters of flowers stand out on their own stalks. Each flower has many long stamens .",68fdb9dc73f423d3687d85e2b6102413
50,51,http://plantid.net/PhotoPath/Thumb192/__JML/Actaea%20rubra%20fr.jpg,"Actaea rubra, Leaves are compound and sharply toothed.  Leaves and flowers are on separate stalks.",1867de1e9d706e28588aa423c14527b9
51,52,http://plantid.net/PhotoPath/Thumb192/__ZAB/Elymus%20triticoides_0000%200000%200610%201729.jpg,"Elymus triticoides, This rye has 2-ranked spikelets that connect directly to the stem.  There is space between each alternating spikelet.",203e63d454cbc330182801f1490e17d3
52,53,http://plantid.net/PhotoPath/Thumb192/__ZAB/Elymus%20triticoides_0000%200000%200617%200623.jpg,"Elymus triticoides, Hollow stems (like straws) connect at solid joints. Leaves are about 1/4"" wide and a foot long.",2f030e4d9cc32c9f423a8aaea413e88f
53,54,http://plantid.net/PhotoPath/Thumb192/__KM/Elymus%20triticoides_0000%200000%201205%200746.jpg,"Elymus triticoides, Prominent blue-green leaves are 4-12"" long and grow away from the stem.  Found in moist habitats with heavy soils.",c5f54c1510283dd5add85cf954b2646c
54,55,http://plantid.net/PhotoPath/Thumb192/__SSM/Scrophularia%20californica_0000%200000%200606%200153.jpg,"Scrophularia californica, This view of the flower from below shows two rounded petals on top, two side petals, and one folded out like a tongue.",297fd728e7b2a9ad11733089e2c2adfe
55,56,http://plantid.net/PhotoPath/Thumb192/__KM/Scrophularia%20californica_0000%200000%200209%201524.jpg,"Scrophularia californica, A square stem supports large, opposite, toothed leaves.  This might make you think ""Mint"" but it's not.",80b94ee3a53eafd9dd268a44a23e991a
56,57,http://plantid.net/PhotoPath/Thumb192/__WF/Scrophularia%20californica_Bee%20Plant_Sausalito_2001-03-16__WF.jpg,"Scrophularia californica, Bee Plant grows several feet high with opposite, narrow leaves sticking straight out.  Flowers are on horizontal stalks near the top.",36ee35a09c866e65e5adfd00953b66c8
57,58,http://plantid.net/PhotoPath/Thumb192/__AF/Agrostis%20exarata_1649.jpg,"Agrostis exarata, Spikelets form a dense, slender column with short stalks.  At maturity, the column opens up a bit. Awns are so short you may not notice them.",50c034f0e129854db6a6efd7649e2249
58,59,http://plantid.net/PhotoPath/Thumb192/__KM/Agrostis%20exarata_0000%200000%200208%200168.jpg,"Agrostis exarata, Leaf blades are about 1/4"" wide and 6"" long. The ligule is prominent, membranous and not hairy.",d126a4d18501d40f91d7503b1ad5dada
59,60,http://plantid.net/PhotoPath/Thumb192/__ZAB/Agrostis%20exarata_0000%200000%200619%200712.jpg,"Agrostis exarata, Leaves mostly ascend from the base of the plant.  A long, narrow inflorescence rises above them, turning purple and then brown late in the season.",76af4eaa54631fe1950abf3f142048cb
60,61,http://plantid.net/PhotoPath/Thumb192/__BB/Cynodon%20dactylon_0000%200000%201111%200988.jpg,"Cynodon dactylon, Spikelets are tiny (<1/10"") and purple.  Tight colonies of plants are connected by rhizomes and stolons .",081ff6712f15497b6a3ad17ebc5e8838
61,62,http://plantid.net/PhotoPath/Thumb192/__ZAB/Cynodon%20dactylon_0000%200000%200914%202876.jpg,"Cynodon dactylon, Two rows of spikelets connect to one side of finger-like branches that all join at the top of the stem.",53dac0e7b77273230865fd04ee364e05
62,63,http://plantid.net/PhotoPath/Thumb192/__ZAB/Cynodon%20dactylon_0000%200000%200808%200114.jpg,"Cynodon dactylon, The ligule is white and hairy.  Leaf blades are short, flat and fleshy.",988b4940501d95575c30e1cd4dea036b
63,64,http://plantid.net/PhotoPath/Thumb192/__NK/Elymus%20multisetus_0000%200000%201009%200726.jpg,"Elymus multisetus, Dense inflorescences with long, purplish awns resemble squirrel tails, especially when they mature.",b4ff76510dfe3fdb807df0b0ee32b701
64,65,http://plantid.net/PhotoPath/Thumb192/__WL/Elymus%20multisetus%20-%20scan%201200%20dpi%20Las%20Trampas%202012-06-17%2002%202012-06-17.jpg,"Elymus multisetus, Here's a closeup of a squirrel tail.  It's crowded with spikelets , each producing 8-22 awns !",56415ba81739c93c151a0a670bebb19a
65,66,http://plantid.net/PhotoPath/Thumb192/__SSM/Elymus%20multisetus_0000%200000%200307%200738.jpg,"Elymus multisetus, Leaves are narrow and long. Found in open, sandy or rocky areas.",fb283f7d867b6506747378b94235dc70
66,67,http://plantid.net/PhotoPath/Thumb192/__JML/Acer%20macrophyllum%20lf.jpg,"Acer macrophyllum, Leaves are quite large, up to 12"" wide, with deep indents.  No other maple in the U.S. has leaves this big.",cfc20d6f4c6ff70a74a8bc6a98a59796
67,68,http://plantid.net/PhotoPath/Thumb192/__KM/Acer%20macrophyllum_0000%201111%202222%203226.jpg,"Acer macrophyllum, Flower clusters droop from emerging leaves.",6c5d97f234128d24595021bde3adaf44
68,69,http://plantid.net/PhotoPath/Thumb192/__JML/Acer%20macrophyllum%20seed.jpg,"Acer macrophyllum, Two winged fruits grow side by side, creating a helicopter-like lift when they're blown away on the wind.",71eef3559ff62a06b150960029187dc4
69,70,http://plantid.net/PhotoPath/Thumb192/__SSM/Pseudognaphalium%20biolettii_0000%200000%200406%200822.jpg,"Pseudognaphalium biolettii, Shiny papery phyllaries surround tiny yellow aster flowers.",1d4a6fbc23515aaddfa6292278cbdefe
70,71,http://plantid.net/PhotoPath/Thumb192/__ZAB/Pseudognaphalium%20biolettii_0000%200000%201008%201887.jpg,"Pseudognaphalium biolettii, Many tiny brown fruits.",4e891fcf39064cd25b271d51ff1f8472
71,72,http://plantid.net/PhotoPath/Thumb192/__KM/Pseudognaphalium%20biolettii_0000%200000%201208%201717.jpg,"Pseudognaphalium biolettii, Grows to 3 feet, sometimes woody at the base.",40d123eb507644f7a8fb417763310d2f
72,73,http://plantid.net/PhotoPath/Thumb192/__JML/Cercocarpus%20betuloides.jpg,"Cercocarpus betuloides var. betuloides, Leaves have smooth edges near the base, but become toothed about half way up.  Rounded tips.",6668b9d1f42abc9c57e409665ef720ad
73,74,http://plantid.net/PhotoPath/Thumb192/__KM/Cercocarpus%20betuloides%20var.%20betuloides_0000%200000%200109%201064.jpg,"Cercocarpus betuloides var. betuloides, Fruit shaped like a fuzzy twisted tail.",8db75070616eb64a2169073815275655
74,75,http://plantid.net/PhotoPath/Thumb192/__NK/Cercocarpus%20betuloides%20var.%20betuloides_0000%200000%200110%200437.jpg,"Cercocarpus betuloides var. betuloides, Shrub grows 3 to 20 feet tall, on dry slopes.",07d205dad04b734fa03a2713d1e322b1
75,76,http://plantid.net/PhotoPath/Thumb192/__KM/Veronica%20persica_0000%201111%202222%204517.jpg,"Veronica persica, The small (1/4""), 4-petaled flower has darker blue, radiant stripes. Notice how the petal sizes vary.  2 purple-tipped stamens and a green tinged center invite pollinators to visit.",3f5fee07d64c73c7f937ccd876585bf0
76,77,http://plantid.net/PhotoPath/Thumb192/__LBM/Veronica%20persica.jpg,"Veronica persica, Leaves are opposite .  Flowers cluster at the top of the stem. The plant is often recumbent, lying along the ground.",f42f65f144cdcd7c10ed763c387645d2
77,78,http://plantid.net/PhotoPath/Thumb192/__FR/BelowMolino/Veronica%20persica%203.jpg,"Veronica persica, This beautiful plant is easy to overlook because of its small size, but a pleasure to find.",e9315f775e1c2203991c3c9bb3c82017
78,79,http://plantid.net/PhotoPath/Thumb192/__KM/Pellaea%20mucronata%20var.%20mucronata_0000%200000%201208%201286.jpg,"Pellaea mucronata var. mucronata, Grows on hot, exposed rocks and rocky slopes.",c156c89d3faf1b8ae3b3467c6f7dc4d5
79,80,http://plantid.net/PhotoPath/Thumb192/__KM/Pellaea%20mucronata%20var.%20mucronata_0000%200000%201208%201285.jpg,"Pellaea mucronata var. mucronata, Individual leaves are separated.",a0de0f1b18a7494f2229af1b93a73e7c
80,81,http://plantid.net/PhotoPath/Thumb192/__KM/Pellaea%20mucronata%20var.%20mucronata_0000%200000%201208%201284.jpg,"Pellaea mucronata var. mucronata, Leaves curl under, protecting spores.",5aa5cc44afee7b64df19560eb4392d0e
81,82,http://plantid.net/PhotoPath/Thumb192/__KM/Lotus%20corniculatus_0000%200000%201108%201988.jpg,"Lotus corniculatus, Tiny pea flowers cluster at the end of the stem.",ff1bcf68ff59d6abd4407dcf284b7d03
82,83,http://plantid.net/PhotoPath/Thumb192/__SSM/Lotus%20corniculatus_0000%200000%200914%201991.jpg,"Lotus corniculatus, Each plant is small.  See fruit pods on the left, compound leaves in the middle, and a flower cluster on the right.",96f449de5be2535e0bfd7e5bf768e2ad
83,84,http://plantid.net/PhotoPath/Thumb192/__NK/Lotus%20corniculatus_0000%200000%201008%200491.jpg,"Lotus corniculatus, Colonies of Bird's Foot Trefoil can be prominent in grasslands.  It is sometimes vine-like, with prostrate stems up to 20 inches.",86304051dca52668ab2ab21619ff38e1
84,85,http://plantid.net/PhotoPath/Thumb192/__JML/Prunus%20emarginata%202.jpg,"Prunus emarginata, 3-10 small flowers per cluster, 5 separate petals, long stamens .",5a79dceb310ece74b7d1cb26a5aef88b
85,86,http://plantid.net/PhotoPath/Thumb192/__JML/Prunus%20emarginata%20fr.jpg,"Prunus emarginata, Leaves to 3 inches long with bumpy edges.  Red cherries, each with its own stalk.",e8fdf78698532d614cced974ecf6779c
86,87,http://plantid.net/PhotoPath/Thumb192/__JKN/Prunus%20emarginata_0000%200000%200812%200264.jpg,"Prunus emarginata, Bitter Cherry forms thickets on sunny hillsides.",ea6b28732b240fbf6e8ee1f784669858
87,88,http://plantid.net/PhotoPath/Thumb192/__JML/Populus%20balsamifera%201.jpg,"Populus trichocarpa, Leaf tops are glossy dark-green.  Undersides are pale.  Leaves are long and pointed, with small teeth on the edge.",7efa39115326497233307d3e2d1995ae
88,89,http://plantid.net/PhotoPath/Thumb192/__SSM/Populus%20trichocarpa_0000%200000%200812%200774.jpg,"Populus trichocarpa, Alternating secondary veins connect to a central one.",5f2315179fb446430fb0f83a6f109c00
89,90,http://plantid.net/PhotoPath/Thumb192/__ZAB/Populus%20trichocarpa_0000%200000%200914%200137.jpg,"Populus trichocarpa, Grows near running water.  Trunks get very large, and the tree height often exceeds 100 feet.",360c99f538c41a91dd1b47ad792641c5
90,91,http://plantid.net/PhotoPath/Thumb192/__KM/Salvia%20mellifera_0000%200000%200813%201709.jpg,"Salvia mellifera, Mint flowers and leaves in whorls around the stem.",f8686a6679f9ed1d09832373603bdef3
91,92,http://plantid.net/PhotoPath/Thumb192/__KM/Salvia%20mellifera_0000%200000%201014%201755.jpg,"Salvia mellifera, Seed groups s become woody.",d0a1b28fc920e3a790c5c376e3649d4d
92,93,http://plantid.net/PhotoPath/Thumb192/__KM/Salvia%20mellifera_0000%200000%201014%201747.jpg,"Salvia mellifera, Basal leaves much longer than wide, with a strong central vein.  Flowers in whorls around the upper stem.",f93480a0054413a2d022bcfdddc4ae14
93,94,http://plantid.net/PhotoPath/Thumb192/__ZAB/Acacia%20melanoxylon_0000%200000%200216%203708.jpg,"Acacia melanoxylon, Pale yellow spherical flowers show many stamens .  These develop into reddish-brown pods.",d13c9b55b7d11a344dfcfc39a1aeb9d1
94,95,http://plantid.net/PhotoPath/Thumb192/__NK/Acacia%20melanoxylon_0000%200000%201009%202208.jpg,"Acacia melanoxylon, Mature leaves are generally wide but occasionally have divided fern-like tips.  Young leaves are divided too.",53e36c174a23bdcef633c5035c69f2e5
95,96,http://plantid.net/PhotoPath/Thumb192/__TC/Acacia%20melanoxylon_10.jpg,"Acacia melanoxylon, Blackwood Acacia grows to be a substantial tree.",af37360eedfc2c3bb9449153ad25b279
96,97,http://plantid.net/PhotoPath/Thumb192/__NK/Ceanothus%20thyrsiflorus%20var.%20thyrsiflorus_0000%200000%200213%201932.jpg,"Ceanothus thyrsiflorus var. thyrsiflorus, Blueblossom is full of tiny, fragrant flowers when it blooms in spring.",2f237fa618efc7343116a1bb772f7c4b
97,98,http://plantid.net/PhotoPath/Thumb192/__ZAB/Ceanothus%20thyrsiflorus%20var.%20thyrsiflorus_0000%200000%200814%200043.jpg,"Ceanothus thyrsiflorus var. thyrsiflorus, Alternate leaves have 3 veins that join at the base.  The underside is dull and the top is shiny.",d314b974b03c07a5a651b1415d8afafa
98,99,http://plantid.net/PhotoPath/Thumb192/__NK/Ceanothus%20thyrsiflorus%20var.%20thyrsiflorus_0000%200000%200216%201259.jpg,"Ceanothus thyrsiflorus var. thyrsiflorus, Leaves are shiny and dark green on top, growing to 2 inches long.  They have glandular bumps on the side.",c8e7073660e14a4a16c55c2d887e9f7e
99,100,http://plantid.net/PhotoPath/Thumb192/__WL/Dichelostemma%20capitatum%20subsp.%20capitatum%20-%20Brooks%20Island%202005-03-11%20-3.jpg,"Dipterostemon capitatus, A tight bunch of 6-petaled flowers appears at the top of a tall, wavy stalk.",1b1b21d9419f3b38e726a8455f7a0cae
100,101,http://plantid.net/PhotoPath/Thumb192/__SSM/Dichelostemma%20capitatum%20ssp.%20capitatum_0000%200000%200408%201044.jpg,"Dipterostemon capitatus, The centers of the flowers feature a forked, white sheath that surrounds yellow-tipped stamens .",90602ffe7598c5987a593ba1af943602
101,102,http://plantid.net/PhotoPath/Thumb192/__NK/Dichelostemma%20capitatum%20ssp.%20capitatum_0000%200000%200116%205099.jpg,"Dipterostemon capitatus, Long, narrow leaves grow from the base of the plant.  Below, the roots connect to food-storing corms .",bd462d4cadb0b44c6cae6a3282facef7
102,103,http://plantid.net/PhotoPath/Thumb192/__JML/Sambucus%20mexicana%20fl.jpg,"Sambucus mexicana, White flat-topped clusters of flowers are easy to spot.",117e18c04cd30006a1c36cdaf1507b36
103,104,http://plantid.net/PhotoPath/Thumb192/__KM/Sambucus%20mexicana_0000%200000%201108%200553.jpg,"Sambucus mexicana, Berries with a waxy covering makes them look powdery.",e469f2f7d38c38215d8aafed1997648b
104,105,http://plantid.net/PhotoPath/Thumb192/__NK/Sambucus%20nigra%20ssp.%20caerulea_0000%200000%201207%200688.jpg,"Sambucus mexicana, Compound leaves with 5 - 9 toothed leaflets.",61da6ff5c08788fe4dfd57d7ad831c43
105,106,http://plantid.net/PhotoPath/Thumb192/__KM/Pholistoma%20auritum%20var.%20auritum_0000%200000%201014%201689.jpg,"Pholistoma auritum var. auritum, This bright flower is about 1"" across, with a pale ring around a dark throat.",cbcd74e5dd6b43afca8dc3246b11de10
106,107,http://plantid.net/PhotoPath/Thumb192/__SSM/Pholistoma%20auritum%20var.%20auritum_0000%200000%200614%200716.jpg,"Pholistoma auritum var. auritum, Sepals are pointed and hairy, alternating bent forward and backward.",c10d3f05a33863e857621cef567af8c9
107,108,http://plantid.net/PhotoPath/Thumb192/__BB/Pholistoma%20auritum%20var.%20auritum_0000%200000%201109%202159.jpg,"Pholistoma auritum var. auritum, Leaf stalks have wings on their sides and wrap around the stem.  Leaves are long with lots of narrow lobes that stick out sideways.",945b25703f4c98cb3fbdccd98349b64e
108,109,http://plantid.net/PhotoPath/Thumb192/__NK/Eucalyptus%20globulus_0000%200000%201208%202414.jpg,"Eucalyptus globulus, Flower has many white stamens surrounding a central knob, and smells of honey.",3f9412c00db412e4ab19044afefc2dd4
109,110,http://plantid.net/PhotoPath/Thumb192/__IFPS/Eucalyptus%20globulus.jpg,"Eucalyptus globulus, Mature leaves are narrow and curved, growing to a foot long.  Woody fruits with 5 notches, grow to 1 inch across.",c21005f14d4142dc3ac29c482ebc8159
110,111,http://plantid.net/PhotoPath/Thumb192/__ZAB/Eucalyptus%20globulus_0000%200000%200213%200163.jpg,"Eucalyptus globulus, Heavy trunks with bark that peals in large strips.",d9ccaab6698943ea419af35e73b32848
111,112,http://plantid.net/PhotoPath/Thumb192/__NK/Solanum%20umbelliferum_0000%200000%201207%200799.jpg,"Solanum umbelliferum, Blue Witch flowers are lavender or blue, pentagon-shaped, and have a yellow center.",5252f3106ccf1506b39ac4b9eb317443
112,113,http://plantid.net/PhotoPath/Thumb192/__KM/Solanum%20umbelliferum_0000%200000%200109%201415.jpg,"Solanum umbelliferum, Leaves are hairy and smooth edged.  Flowers sport green spots at the base of their petals.",cc69d0ba2b3b15242519279fbd28ff2f
