class,description
Nodosariata,"1. The test of Nodosaria radicula consists of a straight, uniserial arrangement of globular, inflated chambers that increase gradually in size. 
 2. Characterized by its arcuate, uniserial test, the foraminiferan Dentalina displays oblique sutures between its elongated, cylindrical chambers. 
 3. A planispirally coiled, biconvex, lens-shaped test with numerous chambers in the final whorl is characteristic of the genus Lenticulina."
Ascidiacea,"1. The solitary vase tunicate, Ciona intestinalis, has a soft, translucent, cylindrical body, often pale yellow-green, with distinct oral and atrial siphons at its distal end. 
 2. A colony of the light bulb tunicate, Clavelina lepadiformis, consists of a cluster of transparent zooids joined at the base, each marked with distinct white or yellow internal rings. 
 3. The star ascidian, Botryllus schlosseri, forms encrusting colonies where individual zooids are embedded in a common tunic, arranged in vibrant, star-shaped systems."
Pezizomycetes,"1. The orange peel fungus, Aleuria aurantia, forms bright orange, cup-shaped apothecia on disturbed soil, with a smooth inner surface and a paler, downy exterior. 
 2. A complex, honeycombed cap composed of irregular pits and ridges sits atop a pale, hollow stipe in the common morel, Morchella esculenta. 
 3. A cross-section of the black truffle, Tuber melanosporum, reveals a dark, solid flesh intricately marbled with a network of fine, branching white veins."
Dothideomycetes,"1. Olive-green to brown lesions of Venturia inaequalis erupt through the cuticle of a crabapple leaf, giving the surface a fuzzy, sooty appearance.	

2. Sooty blotch fungus, Cymadothea trifolii, forms dark, irregular rust spots that create a distinctive pattern on the green leaves of white clover.	

3. Raised, cracked, smoke-grey blisters of elm tar spot develop on the surface of a living elm leaf, later turning black."
Rhabdocoela,"1. Dalyellia viridis, a microscopic flatworm, displays an intense green color from symbiotic algae, with a rounded anterior, pointed posterior, and two distinct kidney-shaped eyes.	

2. The trapezoid temnocephalan is a transparent, glove-shaped commensal with five finger-like anterior projections and a prominent posterior sucker, seen here attached to its freshwater crab host.	

3. Mesostoma ehrenbergii, a large and highly transparent microturbellarian, exhibits a dorsoventrally flattened body with a broadly pointed anterior and a sharply pointed posterior end."
Pucciniomycetes,"1. Elongated, reddish-orange pustules of Puccinia graminis erupt through the stem of a cereal plant, releasing spores.	

2. Cedar-apple rust fungus produces bright orange, gelatinous, horn-shaped telia that emerge from a brown, spherical gall on a juniper branch after a spring rain.	

3. Dense clusters of waxy, lemon-yellow to reddish-brown pustules of hollyhock rust (Puccinia malvacearum) cover the underside of an infected mallow leaf."
Gymnolaemata,"1. A thick, furry, dark brown colony of Flustrellidra hispida encrusts a frond of Fucus serratus, its surface covered in dense, bristly spines.	

2. Lacy crust bryozoan forms an extensive, white, net-like colony composed of thousands of tiny rectangular zooids, creating a delicate pattern over a broad kelp blade.	

3. Bugula neritina grows in bushy, reddish-purple tufts, with dichotomously branching stems that show a slight spiral growth at their tips."
Phaeophyceae,"1. Towering, golden-brown stalks of giant kelp rise from the seafloor, their long, leaf-like fronds held buoyant by spherical, gas-filled pneumatocysts near the base of each blade.	

2. Fucus vesiculosus, an olive-brown seaweed, displays a dichotomously branched thallus with a prominent midrib and distinctive, paired, spherical air bladders along its fronds.	

3. Sargassum weed forms a bushy, yellowish-brown thallus with small, spherical float bladders on short stalks and branches bearing toothed, holly-like leaves."
Ophiuroidea,"1. A smooth brittle star, Ophioderma longicauda, has a dark brown central disc from which five long, slender, and highly flexible whip-like arms extend across a sandy seabed.	

2. A basket star unfurls its five arms, which branch repeatedly into a complex, writhing net of smaller tendrils used to filter-feed in the water column.	

3. The common brittle star exhibits a central disc with a spiny, heart-shaped pattern, from which radiate five slender, tapering arms densely covered in prominent, bristly spines."
Collembola,"1. Dicyrtomina ornata is a tiny, globular springtail with a shiny, rounded abdomen marked by a distinctive dark rectangular patch against a pale yellow or maroon background.	

2. The hairy-back girdled springtail is an elongate, hairy hexapod with long, multi-segmented antennae and a prominent dark band encircling its pale third abdominal segment.	

3. A dense aggregation of tiny, dark slaty blue seashore springtails, Anurida maritima, covers the surface of an intertidal rock pool."
Jungermanniopsida,"1. Bazzania trilobata, a deep-green leafy liverwort, forms a dense mat with forked branches, its overlapping leaves clearly showing three distinct teeth at their apex.        

2. Wall scalewort grows as a bright green, mat-like liverwort flat against tree bark, its crowded, rounded leaves arranged in two overlapping rows along the stem.        

3. Frullania dilatata forms a reddish-brown, pinnately branched patch on bark, its rounded upper lobes and distinctive helmet-shaped lower lobules visible under magnification."
Holothuroidea,"1. The sea apple, Pseudocolochirus tricolor, displays an ovate, brilliantly colored body with purple skin, red tube feet, and feathery white and purple tentacles extended for filter-feeding.	

2. A massive, reddish-brown pineapple sea cucumber crawls across a sandy seafloor, its thick, fleshy body covered in large, conical, star-tipped projections.	

3. The snake sea cucumber, Synapta maculata, exhibits an exceptionally long, slender, yellowish-brown body with darker longitudinal stripes, seen here coiled on the sand with its feathery tentacles extended."
Acoela,"	
1. A dense, mosaic-like aggregation of tiny, brownish Waminoa flatworms, their color derived from symbiotic algae, completely covers the surface of a living coral colony.	

2. A dense population of Convolutriloba retrogemma, a small, brick-red flatworm with a distinct three-lobed posterior, covers the glass of a marine aquarium.	

3. An undescribed acoel flatworm displays a broad, flattened body with translucent tissues, moving across the bumpy surface of a bubble coral."
Lycopodiopsida,"1. The fir clubmoss, Huperzia selago, has stiff, upright, evergreen stems that are densely covered with small, pointed, scale-like leaves, giving it a bristly, miniature tree-like appearance.	

2. Krauss's spikemoss forms a low-growing, dense mat with delicate, branching stems and vibrant green, fern-like leaves, creating a lush ground cover in a shaded environment.	

3. A dense cluster of stiff, dark green, quill-like leaves of Isoetes lacustris radiates upwards from a submerged, fleshy corm rooted in the sandy substrate of a lakebed."
Cephalopoda,"1. A flamboyant cuttlefish walks along the seafloor on two of its arms, its body displaying a vibrant, undulating pattern of maroon, yellow, and white.	

2. The greater blue-ringed octopus, a small yellowish cephalopod, displays its warning coloration of iridescent, flashing blue rings as it moves across a coral reef.	

3. A chambered nautilus reveals its numerous slender, suckerless cirri emerging from an external, coiled shell marked with reddish-brown stripes over a white background."
Spirotrichea,"1. A micrograph of Euplotes eurystomus reveals a dorso-ventrally flattened, oval-shaped ciliate with prominent, leg-like bundles of cilia (cirri) on its ventral surface.	

2. Stentor coeruleus is a large, single-celled protozoan with a distinctive trumpet shape and a visible blue-green pigment, its wide anterior end fringed with beating cilia.	

3. Halteria grandinella, a globular planktonic ciliate, is characterized by a collar of oral cilia and a distinct equatorial belt of stiff, bristle-like cirri used for jumping."
Acentrosomata,"1. Free-living flatworms like planarians are dorsoventrally flattened, bilaterally symmetrical, and often have a triangular head with two eyespots, gliding across surfaces. 
2.Parasitic tapeworms, Cestoda, are ribbon-like with a segmented appearance, often possessing specialized suckers or hooks on their scolex for host attachment.
3. Flukes, or Trematoda, are typically leaf-shaped flatworms, often with suckers for internal attachment to hosts, displaying complex life stages.
4. This terrestrial flatworm, Bipalium kewense, is distinct with its spade-shaped or half-moon head and long, flattened body, often marked by dark dorsal stripes."
Zygnemophyceae,"1.Spirogyra is a filamentous green alga characterized by its distinctively coiled or spiral chloroplasts within each cylindrical cell, forming slimy mats.
2. Zygnema, a filamentous green alga, is identifiable by its two prominent star-shaped chloroplasts per cell, often forming green or yellow-brown mats.
3. This desmid, Micrasterias, is a single-celled green alga with striking bilateral symmetry, divided into two mirror-image semicells, often deeply lobed."
Ulvophyceae,"1.Sea lettuce, Ulva, appears as broad, flat, blade-like or crumpled sheets of bright to dark green tissue, often attached by a small holdfast.
2. Codium fragile, or Dead Man's Fingers, is a dark green seaweed with thick, spongy, Y-shaped, cylindrical branches resembling swollen fingers.
3. Cladophora forms branched, uniseriate green filaments that can create dense, cotton-like mats or tufts, often attached to submerged surfaces."
Polyplacophora,"1. Chitons are marine molluscs with a flattened, oval body protected by eight overlapping, articulated shell plates encircled by a fleshy girdle.
2. The Gumboot Chiton, Cryptochiton stelleri, is the largest chiton, distinctive for its thick, leathery, brick-red girdle that completely covers its eight shell plates.
3. Tonicella lineata is a colorful chiton, identifiable by its eight smooth shell plates adorned with vibrant zigzag lines, surrounded by a smooth girdle.
4. Mopalia muscosa, the mossy chiton, has a dark brown to gray body with eight shell plates and a girdle covered in stiff hairs."
Dinophyceae,"1. Noctiluca scintillans is a large, spheroid, translucent unicellular dinoflagellate, known for spectacular blue bioluminescence, sometimes forming red tides.

2. Ceratium is an armored dinoflagellate with a distinct body and two to four hollow, often elongated, horn-like extensions, varying in size and curvature.

3. Dinophysis is an oval-shaped, armored dinoflagellate with a prominent collar-like structure (epitheca) and a larger, often reddish-brown, hypotheca.

"
Tubothalamea,"1.Foraminifera are single-celled protists that secrete diverse, often multi-chambered, calcium carbonate shells, or agglutinated tests made of foreign particles.

2.Globigerina is a planktic foraminifera with a globular, multi-chambered calcium carbonate shell, often appearing as a grain of sand.

3.Elphidium crispum is a benthic foraminifera with a distinctive spirally coiled, hyaline calcium carbonate shell, featuring depressed, curved sutures.

4.Textularia agglutinans is an agglutinated foraminifera, building its test from alien particles, giving it a rough, composite outer appearance.

"
Bacillariophyceae,"1.Diatoms are unicellular algae with intricate, silicified cell walls called frustules, exhibiting either radial or bilateral symmetry and fine surface patterns.

2.Navicula is a pennate diatom, characterized by its boat-shaped valve view and the presence of a raphe, enabling gliding movement.

3.Coscinodiscus is a centric diatom with a circular, discoid frustule, featuring radiating areolae from a central annulus and marginal rimoportulae.

4.Fragilaria crotonensis forms ribbon-like colonies of lanceolate cells, joined by linking spines, with inflated central margins and capitate ends.

"
Proseriata,"1.Proseriates are minute, elongate, free-living flatworms, typically found in marine sediments, characterized by a ciliated epidermis.

2.Monocelis fusca is a proseriate flatworm, generally minute and elongate, representing the ciliated body plan typical of its order.

"
Clitellata,"1.Earthworms like Lumbricus terrestris are segmented, cylindrical, reddish-brown annelids, identifiable by the prominent, saddle-like clitellum near the head.

2.The medicinal leech, Hirudo medicinalis, has a flattened body with external annulations, and distinct suckers at both ends for attachment.

3.Tubificid worms like Tubifex tubifex are slender, reddish, segmented worms often seen waving their posterior ends from sediment tubes.

"
Chromadorea,"1.Chromadorea are unsegmented, cylindrical, worm-like nematodes, often transparent or translucent, with a protective cuticle and bilateral symmetry.

2.Caenorhabditis elegans is a transparent, rod-like nematode, approximately 1mm long, with a simple, unsegmented body and distinct pharynx.

3.Free-living marine nematodes are slender, unsegmented, cylindrical worms, often microscopic, with a distinct anterior end and smooth cuticle.

4.Plectus aquatilis is a free-living nematode, characterized by its typical small, unsegmented, cylindrical body, inhabiting subterranean aquatic environments.

"
Eumycetozoa,"1. A large, multinucleate plasmodium of Physarum polycephalum is a bright yellow, macroscopic network of interlaced tubes, a single cell that can expand to a diameter of a foot or more. 
2. Differentiated sporangia of a slime mold are displayed as small, dark, and static fruiting bodies that have developed from the larger, amorphous plasmodial mass on a substrate, signaling the reproductive phase of its life cycle. 
3. This bright yellow Fuligo septica mass, colloquially known as the ""dog vomit"" slime mold, exhibits a frothy, amorphous texture as it expands on a mulch bed.
"
Eurotiomycetes,"1. A colony of Aspergillus niger displays a fast-growing, granular surface, appearing black with a white margin, the color derived from its dense conidiophores and abundant spores. 
2. The colony of Penicillium chrysogenum is flat and velvety, with a broad, raised white edge, its surface colored in shades of blue and green due to the mass of conidia. 
3. This culture of Aspergillus flavus is flat and granular, exhibiting a distinct yellow-green pigmentation and radial grooves characteristic of the section."
Cycadopsida,"1. The sago palm displays a dense crown of stiff, glossy, deep green, pinnately compound leaves arranged in a rosette from a thick, fibrous trunk resembling an armor-like column.
2. A male Cycas revoluta plant exhibits a prominent, cone-shaped strobilus emerging from the center of its whorled leaves, a structure responsible for producing pollen. 
3. The cardboard palm presents thick, olive-green oval leaflets with a soft, reddish fuzz on their undersides, a texture that contributes to its common name."
Polycystina,"1. The microscopic skeleton of a Lamprocyclas maritalis specimen exhibits a conical shape with a latticed shell and a crown of spine-like protrusions along its rim, visible under a microscope. 
2. A Spumellaria species is defined by its complex, multi-layered skeleton composed of a series of concentric, spherical shells joined together by radial beams that project outward as spines. 
3. The delicate, helmet-shaped skeleton of Lophospyris pentagona is constructed of porous silica and is supported by a tripod-like basal structure.
"
Chilopoda,"1. A large Scolopendra heros crawls with a long, flattened, and highly segmented body, displaying a rusty-red head and a black trunk with pairs of striking yellow legs on each segment. 
2. The house centipede presents a short, yellowish-gray body with extremely long, slender, and conspicuously banded legs that appear feathery and aid its fast movement. 
3. The Stone centipede displays a body with a long, flattened form and 15 pairs of legs, with noticeably longer segments alternating with shorter segments.
"
Bdelloidea,"1. A rotifer with its corona extended reveals two ciliated, circular disks on retractable stalks, which are actively rotating to create a water current for feeding. 
2. In its retracted state, a Bdelloidea organism resembles a microscopic lemon, with its head and foot withdrawn telescopically into the main trunk of its transparent body. 
3. A creeping specimen exhibits its mouth closed and a proboscis-like rostrum extended, using its foot with two extensible toes and associated spurs to move like a leech.
"
Ostracoda,"1. The hinged, bivalved carapace of a Herpetocypris chevreuxi is a smooth, bean-shaped, semi-translucent shell that encloses the non-mineralized appendages and body parts. 
2. This microscopic crustacean, observed with its shell open, shows numerous fine, feathery appendages extended for swimming and crawling, visible through the gap between the two valves. 
3. The intricate shell of a benthic ostracod is covered in dense ornamentation, including numerous pits, fine striations, and prominent lateral spines and keels."
Thecostraca,"1. A group of acorn barnacles is permanently cemented to a rock surface, their conical, grayish-white shells made of six overlapping plates with a distinctive diamond-shaped opening. 
2. An ivory barnacle is seen with its two ""trap doors"" open, revealing feathery appendages called cirri that rhythmically extend and retract to sweep the surrounding water for food particles. 
3. A juvenile Common Rock Barnacle develops as a small, conical structure with a flat calcareous base, attached to the exposed rock in the intertidal zone."
Crinoidea,"1. A sea lily, anchored to the seafloor by a long stalk composed of stacked, disc-like plates, extends its feathery, highly branched arms into the water column in a parabolic fan shape. 
2. A vibrant red feather star displays its arms and cirri, which it uses to cling to the surface of a coral, lacking a stalk and possessing a cluster of hook-like appendages below its central body. 
3. This stalked crinoid is white, displaying a calyx and eight-branched arms, a coloration consistent with its habitat in the low-light zone of the ocean's depths."
Euglenophyceae,"1. The microscopic organism Euglena mutabilis shows a distinct, cylindrical cell shape with a prominent red eyespot and numerous discoid chloroplasts visible within its transparent body. 
2. An active Euglena deses specimen displays strong metabolic movements, repeatedly changing its elongated, worm-like shape as it swims through the water. 
3. An Euglena cell is seen with its characteristic pear-like shape and a prominent, bright-red eyespot located near the anterior end, serving as a light sensor."
Chlorophyceae,"1. The genus Chlamydomonas appears as spherical, single cells with a prominent cup-shaped chloroplast and a single large pyrenoid, observed with a light microscope.


 2. A Volvox globator colony is a large, spherical structure composed of numerous individual cells, each with two whip-like flagella that propel the whole organism.


 3. Pediastrum is a nonmotile, star-like green algae colony, flat and circular, with peripheral cells featuring two horn-like processes."
